kernel,n,threads,chunk,reps,mean_s,std_s,metric,unit
triad,262144,16,0,400,4.033056e-05,5.779117e-06,207.9963,GB/s
triad,262144,16,4096,400,3.507334e-05,1.856614e-06,239.1733,GB/s
triad,262144,16,16384,400,3.575617e-05,3.265320e-06,234.6059,GB/s
triad,262144,16,65536,400,3.608016e-05,3.040510e-06,232.4992,GB/s
triad,262144,16,262144,400,3.640920e-05,2.908955e-06,230.3981,GB/s
triad,262144,28,0,400,4.251377e-05,7.102684e-06,197.3151,GB/s
triad,262144,28,4096,400,4.071933e-05,2.607874e-06,206.0105,GB/s
triad,262144,28,16384,400,4.149948e-05,2.605869e-06,202.1377,GB/s
triad,262144,28,65536,400,4.320214e-05,1.030128e-05,194.1711,GB/s
triad,262144,28,262144,400,4.152379e-05,2.895243e-06,202.0193,GB/s
triad,1048576,16,0,400,1.264940e-04,8.025516e-06,265.2651,GB/s
triad,1048576,16,4096,400,8.395843e-05,3.200483e-06,399.6553,GB/s
triad,1048576,16,16384,400,7.363029e-05,3.525854e-06,455.7150,GB/s
triad,1048576,16,65536,400,1.215610e-04,5.836285e-06,276.0295,GB/s
triad,1048576,16,262144,400,1.213724e-04,5.953547e-06,276.4585,GB/s
triad,1048576,28,0,400,8.984961e-05,6.294445e-06,373.4511,GB/s
triad,1048576,28,4096,400,8.398842e-05,2.312179e-06,399.5126,GB/s
triad,1048576,28,16384,400,7.781865e-05,3.138220e-05,431.1875,GB/s
triad,1048576,28,65536,400,9.001784e-05,6.241340e-06,372.7531,GB/s
triad,1048576,28,262144,400,9.023199e-05,6.635774e-06,371.8685,GB/s
triad,4194304,16,0,183,1.641154e-03,8.526573e-05,81.7825,GB/s
triad,4194304,16,4096,234,1.284638e-03,5.022274e-05,104.4790,GB/s
triad,4194304,16,16384,252,1.191767e-03,4.014236e-05,112.6208,GB/s
triad,4194304,16,65536,249,1.205007e-03,4.895260e-05,111.3833,GB/s
triad,4194304,16,262144,202,1.489036e-03,7.607198e-05,90.1373,GB/s
triad,4194304,28,0,206,1.457083e-03,6.996030e-05,92.1140,GB/s
