kernel,n,threads,chunk,reps,mean_s,std_s,metric,unit
poly32,262144,16,0,400,1.521781e-04,6.684131e-05,110.2473,GFLOP/s
poly32,262144,16,4096,400,1.068628e-04,7.519987e-06,156.9978,GFLOP/s
poly32,262144,16,16384,400,1.019607e-04,1.724089e-06,164.5460,GFLOP/s
poly32,262144,16,65536,400,1.054586e-04,1.210420e-05,159.0881,GFLOP/s
poly32,262144,16,262144,400,1.044001e-04,4.331135e-06,160.7012,GFLOP/s
poly32,262144,28,0,400,6.971672e-05,5.392710e-06,240.6484,GFLOP/s
poly32,262144,28,4096,400,8.871861e-05,9.009437e-06,189.1059,GFLOP/s
poly32,262144,28,16384,400,7.060078e-05,2.594021e-06,237.6350,GFLOP/s
poly32,262144,28,65536,400,7.347292e-05,1.075287e-06,228.3456,GFLOP/s
poly32,262144,28,262144,400,7.171272e-05,1.085230e-05,233.9503,GFLOP/s
poly32,1048576,16,0,400,3.776806e-04,1.389004e-05,177.6868,GFLOP/s
poly32,1048576,16,4096,400,3.910826e-04,2.612511e-05,171.5977,GFLOP/s
poly32,1048576,16,16384,400,3.814998e-04,2.587985e-05,175.9080,GFLOP/s
poly32,1048576,16,65536,400,3.736634e-04,2.736416e-05,179.5971,GFLOP/s
poly32,1048576,16,262144,400,3.561873e-04,7.285468e-05,188.4089,GFLOP/s
poly32,1048576,28,0,400,2.395018e-04,3.378495e-05,280.2019,GFLOP/s
poly32,1048576,28,4096,400,2.470541e-04,3.093018e-05,271.6364,GFLOP/s
poly32,1048576,28,16384,400,2.930578e-04,6.914005e-06,228.9953,GFLOP/s
poly32,1048576,28,65536,400,2.348496e-04,3.311442e-05,285.7526,GFLOP/s
poly32,1048576,28,262144,400,2.320453e-04,1.560516e-05,289.2059,GFLOP/s
poly32,4194304,16,0,203,1.483290e-03,1.183548e-04,180.9730,GFLOP/s
poly32,4194304,16,4096,187,1.605421e-03,7.784394e-05,167.2056,GFLOP/s
poly32,4194304,16,16384,247,1.215512e-03,3.434566e-04,220.8414,GFLOP/s
poly32,4194304,16,65536,226,1.331581e-03,2.651492e-04,201.5916,GFLOP/s
poly32,4194304,16,262144,225,1.336213e-03,2.796589e-04,200.8927,GFLOP/s
poly32,4194304,28,0,318,9.457976e-04,1.213968e-04,283.8191,GFLOP/s
poly32,4194304,28,4096,288,1.042493e-03,8.708794e-05,257.4937,GFLOP/s
poly32,4194304,28,16384,304,9.893493e-04,1.138595e-04,271.3253,GFLOP/s
poly32,4194304,28,65536,262,1.146313e-03,6.142684e-05,234.1729,GFLOP/s
poly32,4194304,28,262144,323,9.305303e-04,4.633545e-05,288.4758,GFLOP/s
poly32,16777216,16,0,40,7.679385e-03,3.619315e-04,139.8213,GFLOP/s
poly32,16777216,16,4096,38,8.036636e-03,7.119360e-04,133.6059,GFLOP/s
poly32,16777216,16,16384,42,7.276479e-03,6.684833e-04,147.5634,GFLOP/s
poly32,16777216,16,65536,39,7.734954e-03,2.563850e-04,138.8168,GFLOP/s
poly32,16777216,16,262144,39,7.694124e-03,1.261556e-04,139.5535,GFLOP/s
poly32,16777216,28,0,49,6.178858e-03,5.927863e-04,173.7767,GFLOP/s
poly32,16777216,28,4096,46,6.597067e-03,3.124010e-04,162.7605,GFLOP/s
poly32,16777216,28,16384,48,6.293505e-03,8.060039e-05,170.6111,GFLOP/s
poly32,16777216,28,65536,46,6.533229e-03,3.514896e-04,164.3509,GFLOP/s
poly32,16777216,28,262144,45,6.781668e-03,4.979028e-04,158.3301,GFLOP/s
poly32,67108864,16,0,11,2.733356e-02,1.526850e-03,157.1316,GFLOP/s
poly32,67108864,16,4096,11,2.767494e-02,2.395825e-03,155.1934,GFLOP/s
poly32,67108864,16,16384,12,2.679517e-02,1.957882e-03,160.2889,GFLOP/s
poly32,67108864,16,65536,12,2.636004e-02,1.266908e-03,162.9348,GFLOP/s
poly32,67108864,16,262144,12,2.659664e-02,2.891938e-03,161.4853,GFLOP/s
poly32,67108864,28,0,13,2.397806e-02,1.071757e-04,179.1207,GFLOP/s
poly32,67108864,28,4096,12,2.561244e-02,5.530459e-05,167.6907,GFLOP/s
poly32,67108864,28,16384,13,2.488941e-02,5.855642e-05,172.5620,GFLOP/s
poly32,67108864,28,65536,13,2.479378e-02,8.652918e-05,173.2276,GFLOP/s
poly32,67108864,28,262144,13,2.486543e-02,5.753688e-04,172.7285,GFLOP/s
