kernel,n,threads,chunk,reps,mean_s,std_s,metric,unit
poly32,262144,16,0,400,1.368086e-04,2.296560e-05,122.6327,GFLOP/s
poly32,262144,16,4096,400,1.281213e-04,2.231435e-06,130.9479,GFLOP/s
poly32,262144,16,16384,400,1.245391e-04,9.648541e-07,134.7144,GFLOP/s
poly32,262144,16,65536,400,1.263126e-04,1.417155e-05,132.8230,GFLOP/s
poly32,262144,16,262144,400,1.285627e-04,7.406682e-06,130.4984,GFLOP/s
poly32,262144,28,0,400,1.051413e-04,2.110182e-05,159.5682,GFLOP/s
poly32,262144,28,4096,400,1.038182e-04,9.872089e-06,161.6019,GFLOP/s
poly32,262144,28,16384,400,1.123557e-04,6.903920e-06,149.3223,GFLOP/s
poly32,262144,28,65536,400,1.211677e-04,1.984197e-05,138.4627,GFLOP/s
poly32,262144,28,262144,400,9.760288e-05,2.700140e-06,171.8926,GFLOP/s
poly32,1048576,16,0,400,4.012573e-04,2.179915e-05,167.2465,GFLOP/s
poly32,1048576,16,4096,400,4.182134e-04,1.723188e-05,160.4656,GFLOP/s
poly32,1048576,16,16384,400,4.054538e-04,2.119375e-05,165.5155,GFLOP/s
poly32,1048576,16,65536,400,4.060677e-04,3.432517e-05,165.2652,GFLOP/s
poly32,1048576,16,262144,400,4.012328e-04,1.137441e-05,167.2567,GFLOP/s
poly32,1048576,28,0,400,2.825184e-04,7.704978e-05,237.5381,GFLOP/s
poly32,1048576,28,4096,400,2.609399e-04,1.428022e-05,257.1813,GFLOP/s
poly32,1048576,28,16384,400,3.029513e-04,1.660468e-04,221.5170,GFLOP/s
poly32,1048576,28,65536,400,2.494922e-04,1.887960e-06,268.9819,GFLOP/s
poly32,1048576,28,262144,400,2.496767e-04,1.066213e-05,268.7831,GFLOP/s
poly32,4194304,16,0,195,1.544196e-03,4.400811e-05,173.8351,GFLOP/s
poly32,4194304,16,4096,185,1.627524e-03,4.548116e-05,164.9348,GFLOP/s
poly32,4194304,16,16384,192,1.569544e-03,1.163477e-04,171.0277,GFLOP/s
poly32,4194304,16,65536,190,1.582721e-03,1.085427e-04,169.6038,GFLOP/s
poly32,4194304,16,262144,191,1.573688e-03,3.097276e-05,170.5773,GFLOP/s
poly32,4194304,28,0,291,1.030983e-03,2.783028e-04,260.3684,GFLOP/s
poly32,4194304,28,4096,279,1.075841e-03,3.121265e-04,249.5123,GFLOP/s
poly32,4194304,28,16384,323,9.314930e-04,1.153467e-04,288.1776,GFLOP/s
poly32,4194304,28,65536,272,1.103077e-03,3.364938e-05,243.3514,GFLOP/s
poly32,4194304,28,262144,303,9.909750e-04,2.306880e-04,270.8801,GFLOP/s
poly32,16777216,16,0,39,7.791749e-03,2.254971e-04,137.8050,GFLOP/s
poly32,16777216,16,4096,38,7.930521e-03,6.134784e-04,135.3936,GFLOP/s
poly32,16777216,16,16384,40,7.629422e-03,3.162916e-04,140.7370,GFLOP/s
poly32,16777216,16,65536,39,7.803748e-03,2.224649e-04,137.5931,GFLOP/s
poly32,16777216,16,262144,39,7.862378e-03,1.566261e-04,136.5671,GFLOP/s
poly32,16777216,28,0,47,6.403253e-03,8.060496e-04,167.6869,GFLOP/s
poly32,16777216,28,4096,46,6.589963e-03,5.531933e-04,162.9359,GFLOP/s
poly32,16777216,28,16384,45,6.667721e-03,9.937194e-04,161.0358,GFLOP/s
poly32,16777216,28,65536,45,6.685113e-03,9.495474e-04,160.6168,GFLOP/s
poly32,16777216,28,262144,44,6.821642e-03,6.707129e-04,157.4023,GFLOP/s
poly32,67108864,16,0,12,2.679865e-02,1.272202e-03,160.2680,GFLOP/s
poly32,67108864,16,4096,11,2.799435e-02,1.288863e-03,153.4227,GFLOP/s
poly32,67108864,16,16384,11,2.786576e-02,1.308709e-03,154.1307,GFLOP/s
poly32,67108864,16,65536,12,2.715841e-02,2.344927e-03,158.1450,GFLOP/s
poly32,67108864,16,262144,11,2.732905e-02,1.438401e-03,157.1576,GFLOP/s
poly32,67108864,28,0,12,2.592595e-02,2.554410e-03,165.6629,GFLOP/s
poly32,67108864,28,4096,12,2.580730e-02,6.884892e-04,166.4245,GFLOP/s
poly32,67108864,28,16384,12,2.513742e-02,6.848052e-04,170.8595,GFLOP/s
poly32,67108864,28,65536,13,2.481274e-02,1.123093e-03,173.0953,GFLOP/s
poly32,67108864,28,262144,12,2.554932e-02,1.976135e-03,168.1050,GFLOP/s
