chain,accs,dtype,n,time_ms,time_std_ms,gflops,packed_fma,scalar_fma,simd_regs,asm_lines,ipc,ginsn,flops_ratio,wrong_prec_frac,multiplexed
8,1,float64,4194304,2.869,0.061,23.39,8,24,8,291,0.937,0.0148,1.0,0.0,0
16,1,float64,4194304,3.42,0.042,39.25,16,16,8,272,1.25,0.0232,1.0,0.0,0
32,1,float64,4194304,5.851,0.165,45.88,32,32,8,304,1.298,0.04,1.0,0.0,0
48,1,float64,4194304,9.724,0.022,41.41,48,48,8,336,1.096,0.0568,1.0,0.0,0
64,1,float64,4194304,14.795,0.022,36.29,64,64,8,368,0.938,0.0736,1.0,0.0,0
80,1,float64,4194304,20.761,0.296,32.32,80,80,8,400,0.817,0.0904,1.0,0.0,0
96,1,float64,4194304,25.996,0.044,30.98,96,96,8,432,0.778,0.1073,1.0,0.0,0
104,1,float64,4194304,117.214,0.012,7.44,0,39,5,292,0.918,0.5694,1.0,0.0,0
112,1,float64,4194304,132.503,0.34,7.09,0,16,5,234,0.795,0.5591,1.0,0.0,0
128,1,float64,4194304,166.653,0.022,6.44,0,16,5,234,0.72,0.6348,1.0,0.0,0
160,1,float64,4194304,234.09,0.406,5.73,0,20,5,238,0.619,0.7697,1.0,0.0,0
8,2,float64,4194304,2.902,0.061,23.13,8,24,20,328,1.063,0.0169,1.0,0.0,0
16,2,float64,4194304,3.304,0.063,40.63,16,16,20,303,1.381,0.0253,1.0,0.0,0
32,2,float64,4194304,4.772,0.032,56.25,32,32,20,335,1.646,0.0421,1.0,0.0,0
48,2,float64,4194304,7.203,0.032,55.9,48,48,20,367,1.533,0.0589,1.0,0.0,0
64,2,float64,4194304,10.492,0.016,51.17,64,64,20,399,1.362,0.0757,1.0,0.0,0
80,2,float64,4194304,14.156,0.051,47.41,80,80,20,431,1.234,0.0925,1.0,0.0,0
96,2,float64,4194304,18.321,0.027,43.95,96,96,20,463,1.124,0.1093,1.0,0.0,0
104,2,float64,4194304,20.566,0.014,42.42,104,104,20,479,1.079,0.1177,1.0,0.0,0
112,2,float64,4194304,22.379,0.194,41.98,112,112,20,495,1.035,0.1261,1.0,0.0,0
128,2,float64,4194304,105.72,0.027,10.16,0,16,10,249,1.164,0.6511,1.0039,0.0,0
160,2,float64,4194304,145.045,0.38,9.25,0,20,10,253,1.019,0.7857,1.0031,0.0,0
8,4,float64,4194304,2.966,0.098,22.62,8,24,32,384,1.284,0.0211,1.0,0.0,0
16,4,float64,4194304,3.322,0.053,40.4,16,16,32,371,1.631,0.0295,1.0,0.0,0
32,4,float64,4194304,4.564,0.046,58.81,32,32,32,397,1.866,0.0463,1.0,0.0,0
48,4,float64,4194304,6.198,0.03,64.97,48,48,32,428,1.909,0.063,1.0,0.0,0
64,4,float64,4194304,8.319,0.021,64.54,64,64,32,465,1.806,0.0798,1.0,0.0,0
80,4,float64,4194304,10.653,0.014,62.99,80,80,32,497,1.71,0.0966,1.0,0.0,0
96,4,float64,4194304,13.462,0.025,59.82,96,96,32,529,1.586,0.1135,1.0,0.0,0
104,4,float64,4194304,15.108,0.02,57.74,104,104,32,545,1.518,0.1218,1.0,0.0,0
