module,self_ms,self_std
llvmlite.binding.dylib,2.786,0.108
numba.core.typeconv.rules,2.751,0.072
numba.core.typing.npydecl,2.603,0.05
numpy._core._add_newdocs,2.594,0.017
numba.core.typing.builtins,1.731,0.022
numpy._core._multiarray_umath,1.364,1.424
numba.experimental.jitclass.overloads,1.347,0.015
typing,1.266,0.012
numba.cpython.builtins,1.075,0.008
inspect,1.042,0.015
numpy._typing._array_like,0.989,0.009
numpy._typing._dtype_like,0.947,0.01
_hashlib,0.87,0.009
logging,0.864,0.003
numba.parfors.parfor,0.843,0.872
numba.parfors.parfor_lowering,0.833,0.014
numba.core.interpreter,0.801,0.018
numba.core.errors,0.788,0.009
socket,0.775,0.012
numpy._core.multiarray,0.763,0.014
numpy.random._generator,0.73,0.004
numba.core.caching,0.712,0.009
numba.core.pythonapi,0.708,0.01
numpy.random.mtrand,0.7,0.006
numpy.linalg._linalg,0.694,0.006
numpy._typing._char_codes,0.689,0.001
numba.core.types.containers,0.675,0.01
numba.core.ir,0.671,0.01
enum,0.67,0.006
ast,0.659,0.009
llvmlite.binding.targets,0.655,0.012
numba.core.cgutils,0.646,0.011
llvmlite.binding.newpassmanagers,0.638,0.007
numba.core.byteflow,0.633,0.011
llvmlite.binding.value,0.63,0.006
ipaddress,0.618,0.004
numba.core.runtime.nrtopt,0.602,0.003
numpy.lib._function_base_impl,0.59,0.004
importlib.metadata,0.569,0.006
weakref,0.564,0.02
llvmlite.ir.values,0.552,0.008
html.entities,0.537,0.002
_ast,0.534,0.005
urllib.parse,0.531,0.008
numba.core.types.functions,0.523,0.006
llvmlite.binding.ffi,0.522,0.006
numpy,0.511,0.006
llvmlite.ir.instructions,0.51,0.006
numba.np.numpy_support,0.509,0.004
numba.core.typed_passes,0.509,0.004
numba.parfors.array_analysis,0.493,0.004
locale,0.488,0.053
textwrap,0.485,0.003
numba.core.untyped_passes,0.481,0.006
numba.core.typeinfer,0.467,0.005
zipfile,0.462,0.008
numba.core.compiler,0.462,0.004
numpy.dtypes,0.458,0.031
dis,0.455,0.008
numpy._core.fromnumeric,0.448,0.012
numba.core.dispatcher,0.443,0.007
collections,0.442,0.008
numba.core.types.misc,0.433,0.013
tokenize,0.429,0.005
numba.core.base,0.427,0.047
numba,0.423,0.014
ctypes,0.417,0.004
llvmlite.binding.module,0.417,0.007
shutil,0.411,0.005
_collections_abc,0.41,0.028
pickle,0.41,0.004
numpy.lib._arraysetops_impl,0.408,0.014
calendar,0.407,0.005
numba.core.types.abstract,0.406,0.005
numpy._core.shape_base,0.404,0.021
numpy._core.numeric,0.39,0.015
numba.core.codegen,0.387,0.007
email.header,0.384,0.008
numba.core.lowering,0.382,0.003
numba.core.types.npytypes,0.381,0.01
platform,0.375,0.005
numba.core.utils,0.374,0.003
numba.np.types.datetime,0.365,0.364
llvmlite.ir.types,0.358,0.005
dataclasses,0.353,0.002
numba.cloudpickle.cloudpickle,0.352,0.006
pathlib,0.347,0.004
numba.core.ir_utils,0.341,0.004
llvmlite.ir.builder,0.339,0.006
threading,0.335,0.003
numba.core.datamodel.models,0.335,0.336
traceback,0.334,0.003
numba.core.config,0.333,0.007
numpy._core._internal,0.327,0.003
numba.np.ufunc.parallel,0.326,0.001
numba.core.callconv,0.325,0.009
numba.core.typing.context,0.319,0.005
numpy.lib._npyio_impl,0.317,0.007
numba.misc.llvm_pass_timings,0.316,0.05
numpy._core._add_newdocs_scalars,0.314,0.003
numpy.lib._polynomial_impl,0.3,0.004
llvmlite.binding.executionengine,0.3,0.004
numba.core.bytecode,0.298,0.004
contextlib,0.294,0.006
numpy._core.arrayprint,0.293,0.005
numba.core.extending,0.292,0.002
numba.core.typing.typeof,0.289,0.005
numba.core.analysis,0.289,0.004
site,0.287,0.01
email.errors,0.287,0.004
llvmlite.binding.typeref,0.283,0.004
numba.np.ufunc.wrappers,0.281,0.003
numba.core.compiler_machinery,0.278,0.004
numba.core.types,0.276,0.004
selectors,0.274,0.009
functools,0.269,0.006
numpy.random._common,0.266,0.004
numpy._core,0.265,0.003
string,0.264,0.006
email.utils,0.264,0.005
numba.np.ufunc.dufunc,0.263,0.004
tempfile,0.262,0.007
numba.core.controlflow,0.26,0.002
re._compiler,0.258,0.002
numba.core.cpu,0.258,0.004
email.message,0.257,0.002
re,0.246,0.007
numba.np.ufunc.ufuncbuilder,0.241,0.002
numba.core.imputils,0.239,0.003
encodings,0.232,0.003
numba.stencils.stencil,0.231,0.005
numbers,0.229,0.015
numba.core.transforms,0.225,0.011
numba.core.typing.templates,0.224,0.221
numpy.lib,0.223,0.014
numpy.lib._index_tricks_impl,0.221,0.004
encodings.aliases,0.213,0.029
numpy.polynomial._polybase,0.213,0.005
numba.core.ssa,0.213,0.002
numpy._core.einsumfunc,0.211,0.003
csv,0.208,0.002
opcode,0.204,0.002
numba.core.event,0.2,0.004
_virtualenv,0.199,0.009
numba.core.targetconfig,0.199,0.005
uuid,0.198,0.002
numba.core.debuginfo,0.196,0.003
numba.core.runtime.nrt,0.195,0.003
numpy.lib._nanfunctions_impl,0.194,0.011
numba.core.types.scalars,0.194,0.003
numpy.polynomial.chebyshev,0.193,0.003
json.decoder,0.192,0.003
numba.core.withcontexts,0.188,0.004
importlib.resources.abc,0.187,0.003
html,0.186,0.003
importlib.metadata._meta,0.186,0.005
_ctypes,0.185,0.004
json.encoder,0.183,0.001
importlib.resources._common,0.183,0.002
random,0.18,0.003
re._parser,0.177,0.002
numpy.lib._shape_base_impl,0.176,0.005
numpy.lib._iotools,0.174,0.004
importlib.abc,0.174,0.005
zipfile._path,0.173,0.003
numba.core.pylowering,0.173,0.003
numba.np.ufunc.decorators,0.17,0.003
json.scanner,0.168,0.001
numba.core.itanium_mangler,0.166,0.005
numba.stencils.stencilparfor,0.166,0.002
numba.parfors.parfor_lowering_utils,0.166,0.002
numba.core.typeconv.castgraph,0.165,0.002
numpy._core.numerictypes,0.164,0.003
os,0.163,0.026
importlib.metadata._adapters,0.162,0.002
numba.core.annotations.type_annotations,0.162,0.003
llvmlite.binding.orcjit,0.161,0.002
numba.core.target_extension,0.16,0.005
numba.misc.coverage_support,0.159,0.002
numba.np.ufunc.gufunc,0.159,0.003
numba.misc.init_utils,0.156,0.001
numpy._core.overrides,0.155,0.001
numpy._core.records,0.154,0.002
numpy.polynomial.legendre,0.154,0.002
numpy.lib._arraypad_impl,0.153,0.003
numba.core.unsafe.eh,0.152,0.003
numpy.lib._stride_tricks_impl,0.15,0.004
numpy.lib._twodim_base_impl,0.15,0.003
pprint,0.148,0.001
llvmlite.binding,0.147,0.001
numpy.__config__,0.146,0.002
email._policybase,0.146,0.004
_compat_pickle,0.145,0.003
ctypes._endian,0.144,0.003
importlib.resources._adapters,0.144,0.006
numpy.polynomial.hermite,0.144,0.01
token,0.143,0.007
_frozen_importlib_external,0.142,0.004
numpy.random._philox,0.142,0.004
warnings,0.14,0.003
numpy.matrixlib.defmatrix,0.139,0.002
numpy.polynomial.polynomial,0.139,0.003
numpy.lib._histograms_impl,0.138,0.001
numba.core.rewrites.static_getitem,0.138,0.002
numpy._core._exceptions,0.137,0.004
numba.core.types.function_type,0.137,0.005
numpy.random._bounded_integers,0.137,0.006
numba.core.tracing,0.136,0.005
numba.core.postproc,0.135,0.002
email._parseaddr,0.135,0.005
numba.np.ufunc_db,0.135,0.003
numba.np.ufunc.array_exprs,0.135,0.002
hashlib,0.134,0.005
codecs,0.133,0.005
numpy.lib._type_check_impl,0.133,0.004
importlib.resources.readers,0.132,0.002
numpy.random.bit_generator,0.132,0.126
numpy.linalg._umath_linalg,0.13,0.003
numba.core.types.iterators,0.13,0.003
numba.core.generators,0.13,0.003
numba.core.serialize,0.13,0.004
email._encoded_words,0.13,0.005
numba.np.ufunc._internal,0.13,0.003
posix,0.129,0.001
