kernel,phase,pass,ms
arrayexpr,Module passes (full optimization),InstCombinePass,8.924
arrayexpr,Finalize object,X86 DAG->DAG Instruction Selection #5,6.923
arrayexpr,Finalize object,X86 DAG->DAG Instruction Selection #6,6.886
arrayexpr,Module passes (full optimization),LoopVectorizePass,5.606
arrayexpr,Module passes (full optimization),LoopUnrollPass,4.527
arrayexpr,Finalize object,Loop Strength Reduction #2,3.756
arrayexpr,Module passes (full optimization),SimplifyCFGPass,3.351
arrayexpr,Module passes (full optimization),JumpThreadingPass,2.517
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',InstCombinePass,1.739
arrayexpr,Module passes (full optimization),LoopLoadEliminationPass,1.471
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',InstCombinePass,1.471
arrayexpr,Module passes (full optimization),EarlyCSEPass,1.308
arrayexpr,Finalize object,Greedy Register Allocator #12,1.271
arrayexpr,Finalize object,Greedy Register Allocator #9,1.271
arrayexpr,Module passes (cheap optimization for refprune),InstCombinePass,1.192
arrayexpr,Module passes (full optimization),GVNPass,1.144
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SimpleLoopUnswitchPass,1.12
arrayexpr,Module passes (full optimization),InlinerPass,1.111
arrayexpr,Finalize object,Machine Instruction Scheduler #6,1.101
arrayexpr,Finalize object,Machine Instruction Scheduler #5,1.096
arrayexpr,Module passes (full optimization),CorrelatedValuePropagationPass,1.062
arrayexpr,Finalize object,Greedy Register Allocator #11,0.958
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SimplifyCFGPass,0.896
arrayexpr,Finalize object,CodeGen Prepare #6,0.855
arrayexpr,Finalize object,CodeGen Prepare #5,0.849
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',DSEPass,0.761
arrayexpr,Finalize object,Canonicalize Freeze Instructions in Loops,0.726
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SimplifyCFGPass,0.715
arrayexpr,Finalize object,Canonicalize Freeze Instructions in Loops #2,0.714
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',JumpThreadingPass,0.676
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',LICMPass,0.653
arrayexpr,Module passes (full optimization),LICMPass,0.646
arrayexpr,Module passes (cheap optimization for refprune),JumpThreadingPass,0.638
arrayexpr,Module passes (full optimization),IndVarSimplifyPass,0.621
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',CorrelatedValuePropagationPass,0.618
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',EarlyCSEPass,0.61
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',SROAPass,0.602
arrayexpr,Module passes (full optimization),SROAPass,0.572
arrayexpr,Finalize object,Induction Variable Users #2,0.572
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',JumpThreadingPass,0.562
arrayexpr,Function passes on 'cfunc._ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',InstCombinePass,0.514
arrayexpr,Module passes (full optimization),IPSCCPPass,0.49
arrayexpr,Module passes (full optimization),DSEPass,0.49
arrayexpr,Module passes (full optimization),InstSimplifyPass,0.49
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',GVNPass,0.472
arrayexpr,Function passes on '_ZN13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',IndVarSimplifyPass,0.446
arrayexpr,Finalize object,Early Machine Loop Invariant Code Motion #5,0.438
arrayexpr,Finalize object,Early Machine Loop Invariant Code Motion #6,0.431
arrayexpr,Function passes on '_ZN7cpython13_3cdynamic_3e1fB2v1B38c8tJTIeFIjxB2IKSgI4CrvQClQZ6FczSBAA_3dE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE5ArrayIdLi1E1C7mutable7alignedE',GVNPass,0.422
arrayexpr,Module passes (full optimization),LoopDeletionPass,0.409
arrayexpr,Module passes (full optimization),LoopIdiomRecognizePass,0.409
arrayexpr,Module passes (full optimization),ConstraintEliminationPass,0.409
arrayexpr,Module passes (full optimization),RefPrunePass,0.409
arrayexpr,Module passes (full optimization),SCCPPass,0.409
arrayexpr,Finalize object,Machine Common Subexpression Elimination #5,0.409
arrayexpr,Finalize object,Machine Common Subexpression Elimination #6,0.393
