kernel,site,ms,std
saxpy,executionengine:finalize_object<-codegen:wrapper,15.75,0.14
saxpy,newpassmanagers:run<-codegen:_optimize_final_module,8.79,0.03
saxpy,newpassmanagers:run<-codegen:_optimize_functions,7.8,0.04
saxpy,newpassmanagers:finish_pass_timing<-llvm_pass_timings:__exit__,1.91,0.06
saxpy,module:parse_assembly<-codegen:add_ir_module,1.12,0.01
saxpy,newpassmanagers:getFunctionPassManager<-codegen:_function_pass_manager,0.82,0.01
saxpy,dylib:add_symbol<-base:_load_global_helpers,0.56,0.01
saxpy,module:_next<-module:__next__,0.48,0.0
saxpy,newpassmanagers:_dispose<-codegen:_optimize_functions,0.46,0.0
saxpy,newpassmanagers:report_and_reset_timings<-llvm_pass_timings:__exit__,0.46,0.0
saxpy,linker:link_modules<-module:link_in,0.29,0.01
saxpy,module:verify<-codegen:add_ir_module,0.24,0.01
saxpy,newpassmanagers:__init__<-newpassmanagers:create_pass_builder,0.24,0.0
saxpy,newpassmanagers:add_refprune_pass<-codegen:_function_pass_manager,0.17,0.0
saxpy,newpassmanagers:slp_vectorization<-llvm_bindings:create_pass_builder,0.16,0.0
saxpy,newpassmanagers:start_pass_timing<-llvm_pass_timings:__enter__,0.16,0.0
saxpy,newpassmanagers:__init__<-newpassmanagers:start_pass_timing,0.16,0.0
saxpy,newpassmanagers:loop_vectorization<-llvm_bindings:create_pass_builder,0.15,0.0
saxpy,newpassmanagers:__init__<-newpassmanagers:create_pipeline_tuning_options,0.14,0.0
saxpy,value:name<-codegen:_optimize_functions,0.14,0.0
saxpy,targets:create_target_machine<-codegen:_init,0.13,0.0
saxpy,module:verify<-codegen:finalize,0.12,0.0
saxpy,initfini:initialize_native_target<-codegen:initialize_llvm,0.12,0.0
saxpy,dylib:add_symbol<-externals:_do_install,0.12,0.0
saxpy,newpassmanagers:getModulePassManager<-codegen:_module_pass_manager,0.1,0.0
saxpy,module:parse_assembly<-codegen:__init__,0.09,0.0
saxpy,targets:get_process_triple<-codegen:_create_empty_module,0.09,0.0
saxpy,value:is_declaration<-codegen:_load_defined_symbols,0.08,0.0
saxpy,newpassmanagers:_dispose<-codegen:finalize,0.07,0.0
saxpy,context:get_global_context<-module:parse_assembly,0.07,0.0
saxpy,dylib:add_symbol<-nrt:initialize,0.07,0.0
saxpy,value:is_declaration<-codegen:_verify_declare_only_symbols,0.06,0.0
saxpy,module:parse_assembly<-codegen:_check_llvm_bugs,0.05,0.0
saxpy,value:is_declaration<-codegen:scan_defined_symbols,0.05,0.0
saxpy,module:parse_assembly<-types:_get_ll_global_value_type,0.05,0.0
saxpy,targets:get_host_cpu_features<-codegen:get_host_cpu_features,0.05,0.0
saxpy,value:name<-codegen:_load_defined_symbols,0.05,0.0
saxpy,module:__str__<-codegen:_check_llvm_bugs,0.05,0.0
saxpy,module:clone<-codegen:_get_module_for_linking,0.05,0.0
saxpy,newpassmanagers:_dispose<-codegen:add_llvm_module,0.05,0.0
saxpy,value:linkage<-codegen:_get_module_for_linking,0.04,0.0
saxpy,value:name<-codegen:scan_defined_symbols,0.03,0.0
saxpy,value:name<-codegen:_finalize_dynamic_globals,0.03,0.0
saxpy,module:clone<-module:link_in,0.03,0.0
saxpy,value:name<-codegen:scan_unresolved_symbols,0.03,0.0
saxpy,value:is_declaration<-codegen:_get_module_for_linking,0.03,0.0
saxpy,module:data_layout<-codegen:_optimize_functions,0.02,0.0
saxpy,value:name<-codegen:_verify_declare_only_symbols,0.02,0.0
saxpy,module:get_function<-codegen:_get_module_for_linking,0.02,0.0
saxpy,dylib:add_symbol<-hashing:inject,0.02,0.0
saxpy,value:name<-codegen:_get_module_for_linking,0.02,0.0
saxpy,module:name<-codegen:add_ir_module,0.02,0.0
saxpy,newpassmanagers:add_refprune_pass<-codegen:_module_pass_manager,0.02,0.0
saxpy,executionengine:create_mcjit_compiler<-codegen:_init,0.02,0.0
saxpy,module:name<-codegen:__init__,0.01,0.0
saxpy,module:functions<-codegen:_optimize_functions,0.01,0.0
