kernel,rep,pipeline,pass,run_s
saxpy,0,nopython,0_translate_bytecode,0.000656
saxpy,0,nopython,1_fixup_args,1e-06
saxpy,0,nopython,2_ir_processing,0.000163
saxpy,0,nopython,3_with_lifting,3e-05
saxpy,0,nopython,4_inline_closure_likes,0.000402
saxpy,0,nopython,5_rewrite_semantic_constants,1.2e-05
saxpy,0,nopython,6_dead_branch_prune,2.8e-05
saxpy,0,nopython,7_generic_rewrites,0.000272
saxpy,0,nopython,8_Rewrite dynamic raises,4e-06
saxpy,0,nopython,9_make_function_op_code_to_jit_function,5e-06
saxpy,0,nopython,10_inline_inlinables,1.5e-05
saxpy,0,nopython,11_dead_branch_prune,2.5e-05
saxpy,0,nopython,12_find_literally,7e-06
saxpy,0,nopython,13_literal_unroll,5e-06
saxpy,0,nopython,14_reconstruct_ssa,0.000246
saxpy,0,nopython,15_dead_branch_prune,2.3e-05
saxpy,0,nopython,16_LiteralPropagation,5e-06
saxpy,0,nopython,17_nopython_type_inference,0.001713
saxpy,0,nopython,18_strip_phis,0.000183
saxpy,0,nopython,19_inline_overloads,8.2e-05
saxpy,0,nopython,20_nopython_rewrites,0.000506
saxpy,0,nopython,21_nopython_supported_feature_validation,2e-05
saxpy,0,nopython,22_ir_legalization,0.000176
saxpy,0,nopython,23_annotate_types,1.9e-05
saxpy,0,nopython,24_native_lowering,0.030927
saxpy,0,nopython,25_nopython_backend,1.4e-05
saxpy,0,nopython,26_dump_parfor_diagnostics,1e-06
saxpy,1,nopython,0_translate_bytecode,0.000646
saxpy,1,nopython,1_fixup_args,1e-06
saxpy,1,nopython,2_ir_processing,0.000161
saxpy,1,nopython,3_with_lifting,2.8e-05
saxpy,1,nopython,4_inline_closure_likes,0.000391
saxpy,1,nopython,5_rewrite_semantic_constants,1.2e-05
saxpy,1,nopython,6_dead_branch_prune,2.8e-05
saxpy,1,nopython,7_generic_rewrites,0.000263
saxpy,1,nopython,8_Rewrite dynamic raises,4e-06
