chain,accs,dtype,compile_ms,time_ms,time_std_ms,gflops,flops_ratio,packed_fma,scalar_fma,simd_regs,asm_lines,config
8,1,float64,140.3,2.445,0.07,27.45,1.0,8,24,8,291,default
16,1,float64,75.2,2.695,0.055,49.81,1.0,16,16,8,272,default
32,1,float64,77.0,4.732,0.025,56.73,1.0,32,32,8,304,default
48,1,float64,84.1,9.736,0.026,41.36,1.0,48,48,8,336,default
64,1,float64,91.7,14.04,0.663,38.24,1.0,64,64,8,368,default
80,1,float64,98.8,19.49,0.008,34.43,1.0,80,80,8,400,default
96,1,float64,118.9,25.958,0.02,31.02,1.0,96,96,8,432,default
104,1,float64,188.3,116.292,0.067,7.5,1.0,0,39,5,292,default
112,1,float64,202.2,132.283,0.226,7.1,1.0,0,16,5,234,default
128,1,float64,235.1,166.197,0.234,6.46,1.0,0,16,5,234,default
160,1,float64,304.4,234.314,0.128,5.73,1.0,0,20,5,238,default
8,2,float64,75.9,2.911,0.072,23.06,1.0,8,24,20,328,default
16,2,float64,77.4,3.287,0.041,40.83,1.0,16,16,20,303,default
32,2,float64,79.2,4.791,0.042,56.03,1.0,32,32,20,335,default
48,2,float64,84.2,7.143,0.017,56.37,1.0,48,48,20,367,default
64,2,float64,88.5,9.975,0.654,53.82,1.0,64,64,20,399,default
80,2,float64,93.2,12.668,0.018,52.97,1.0,80,80,20,431,default
96,2,float64,98.4,16.746,0.005,48.09,1.0,96,96,20,463,default
104,2,float64,102.4,19.011,0.143,45.89,1.0,104,104,20,479,default
112,2,float64,106.5,23.008,0.011,40.83,1.0,112,112,20,495,default
128,2,float64,177.4,104.509,0.013,10.27,1.0039,0,16,10,249,default
160,2,float64,230.7,144.942,0.038,9.26,1.0031,0,20,10,253,default
8,4,float64,81.8,2.562,0.065,26.2,1.0,8,24,32,384,default
16,4,float64,82.1,2.66,0.07,50.46,1.0,16,16,32,371,default
32,4,float64,83.7,4.614,0.037,58.18,1.0,32,32,32,397,default
48,4,float64,87.5,6.201,0.025,64.94,1.0,48,48,32,428,default
64,4,float64,90.4,7.06,0.005,76.04,1.0,64,64,32,465,default
80,4,float64,94.4,9.476,0.004,70.82,1.0,80,80,32,497,default
96,4,float64,99.7,12.335,0.004,65.28,1.0,96,96,32,529,default
104,4,float64,101.4,13.844,0.004,63.02,1.0,104,104,32,545,default
112,4,float64,102.6,15.64,0.138,60.07,1.0,112,112,32,561,default
128,4,float64,108.7,18.991,0.057,56.54,1.0,128,128,32,593,default
160,4,float64,162.7,84.797,0.057,15.83,1.0093,0,20,17,287,default
8,1,float32,66.0,0.897,0.102,74.79,1.0,8,24,8,291,default
16,1,float32,63.9,1.129,0.058,118.88,1.0,16,16,8,272,default
32,1,float32,81.4,2.331,0.027,115.16,1.0,32,32,8,304,default
48,1,float32,69.7,4.532,0.028,88.84,1.0,48,48,8,336,default
64,1,float32,73.4,7.321,0.043,73.33,1.0,64,64,8,368,default
80,1,float32,76.5,10.033,0.077,66.89,1.0,80,80,8,400,default
96,1,float32,83.2,13.522,0.054,59.55,1.0,96,96,8,432,default
104,1,float32,174.1,116.562,0.113,7.48,1.0,0,39,5,292,default
112,1,float32,187.0,132.536,0.041,7.09,1.0,0,16,5,234,default
128,1,float32,221.5,166.185,0.081,6.46,1.0,0,16,5,234,default
160,1,float32,289.9,234.144,0.208,5.73,1.0,0,20,5,238,default
8,2,float32,61.1,1.127,0.169,59.54,1.0,8,24,20,328,default
16,2,float32,61.9,1.305,0.111,102.83,1.0,16,16,20,303,default
32,2,float32,64.1,2.084,0.051,128.8,1.0,32,32,20,335,default
48,2,float32,66.4,2.96,0.011,136.05,1.0,48,48,20,367,default
64,2,float32,67.8,4.398,0.011,122.07,1.0,64,64,20,399,default
80,2,float32,72.0,6.347,0.019,105.73,1.0,80,80,20,431,default
96,2,float32,91.6,8.185,0.013,98.38,1.0,96,96,20,463,default
104,2,float32,78.6,9.587,0.081,91.0,1.0,104,104,20,479,default
112,2,float32,80.2,10.436,0.012,90.02,1.0,112,112,20,495,default
128,2,float32,162.9,104.514,0.059,10.27,1.0039,0,16,10,249,default
160,2,float32,205.6,145.116,0.14,9.25,1.0031,0,20,10,253,default
8,4,float32,70.0,1.107,0.107,60.64,1.0,8,24,32,384,default
16,4,float32,66.8,1.355,0.077,99.02,1.0,16,16,32,371,default
32,4,float32,68.4,1.723,0.022,155.84,1.0,32,32,32,397,default
48,4,float32,70.2,2.513,0.008,160.23,1.0,48,48,32,428,default
64,4,float32,72.4,3.491,0.007,153.8,1.0,64,64,32,465,default
80,4,float32,75.6,4.896,0.007,137.06,1.0,80,80,32,497,default
96,4,float32,77.4,6.053,0.009,133.04,1.0,96,96,32,529,default
104,4,float32,79.8,6.929,0.013,125.9,1.0,104,104,32,545,default
112,4,float32,81.8,7.677,0.012,122.38,1.0,112,112,32,561,default
128,4,float32,102.6,9.848,0.143,109.03,1.0,128,128,32,593,default
160,4,float32,147.0,84.783,0.185,15.83,1.0093,0,20,17,287,default
8,1,float64,146.0,2.923,0.079,22.96,1.0,8,24,8,291,thresh2k
16,1,float64,76.2,3.465,0.087,38.73,1.0,16,16,8,272,thresh2k
32,1,float64,78.2,5.799,0.039,46.29,1.0,32,32,8,304,thresh2k
48,1,float64,84.3,9.765,0.016,41.24,1.0,48,48,8,336,thresh2k
64,1,float64,92.1,14.798,0.03,36.28,1.0,64,64,8,368,thresh2k
80,1,float64,99.3,19.502,0.007,34.41,1.0,80,80,8,400,thresh2k
96,1,float64,118.9,26.037,0.079,30.93,1.0,96,96,8,432,thresh2k
104,1,float64,114.2,29.577,0.184,29.5,1.0,104,104,8,448,thresh2k
112,1,float64,118.8,34.529,0.328,27.21,1.0,112,112,8,464,thresh2k
128,1,float64,130.9,42.819,0.015,25.08,1.0,128,128,8,496,thresh2k
160,1,float64,155.9,59.576,0.136,22.53,1.0,160,160,8,560,thresh2k
8,2,float64,75.9,2.9,0.063,23.14,1.0,8,24,20,328,thresh2k
16,2,float64,76.9,3.397,0.071,39.51,1.0,16,16,20,303,thresh2k
32,2,float64,79.4,3.779,0.02,71.04,1.0,32,32,20,335,thresh2k
48,2,float64,83.1,5.956,0.017,67.61,1.0,48,48,20,367,thresh2k
64,2,float64,87.2,9.067,0.006,59.21,1.0,64,64,20,399,thresh2k
80,2,float64,92.7,12.668,0.014,52.98,1.0,80,80,20,431,thresh2k
96,2,float64,98.3,16.745,0.012,48.09,1.0,96,96,20,463,thresh2k
104,2,float64,102.1,19.018,0.165,45.87,1.0,104,104,20,479,thresh2k
112,2,float64,105.9,22.991,0.024,40.86,1.0,112,112,20,495,thresh2k
128,2,float64,114.7,27.234,0.128,39.43,1.0,128,128,20,527,thresh2k
160,2,float64,141.6,37.12,0.023,36.16,1.0,160,160,20,591,thresh2k
8,4,float64,81.5,2.588,0.074,25.93,1.0,8,24,32,384,thresh2k
16,4,float64,81.5,2.663,0.062,50.4,1.0,16,16,32,371,thresh2k
32,4,float64,84.5,4.604,0.035,58.3,1.0,32,32,32,397,thresh2k
48,4,float64,87.8,6.197,0.016,64.98,1.0,48,48,32,428,thresh2k
64,4,float64,90.4,7.06,0.009,76.05,1.0,64,64,32,465,thresh2k
80,4,float64,94.0,9.471,0.008,70.86,1.0,80,80,32,497,thresh2k
96,4,float64,98.8,12.328,0.01,65.33,1.0,96,96,32,529,thresh2k
104,4,float64,101.1,13.844,0.006,63.02,1.0,104,104,32,545,thresh2k
112,4,float64,102.8,15.563,0.012,60.37,1.0,112,112,32,561,thresh2k
128,4,float64,108.7,18.964,0.031,56.62,1.0,128,128,32,593,thresh2k
160,4,float64,120.6,27.076,0.041,49.57,1.0,160,160,32,657,thresh2k
8,1,float32,65.7,0.892,0.099,75.22,1.0,8,24,8,291,thresh2k
16,1,float32,63.7,1.119,0.067,119.91,1.0,16,16,8,272,thresh2k
32,1,float32,82.4,2.329,0.023,115.28,1.0,32,32,8,304,thresh2k
48,1,float32,69.3,4.261,0.02,94.5,1.0,48,48,8,336,thresh2k
64,1,float32,71.3,6.535,0.007,82.15,1.0,64,64,8,368,thresh2k
80,1,float32,74.8,9.769,0.023,68.7,1.0,80,80,8,400,thresh2k
96,1,float32,81.0,13.302,0.044,60.54,1.0,96,96,8,432,thresh2k
104,1,float32,85.9,14.893,0.022,58.58,1.0,104,104,8,448,thresh2k
112,1,float32,87.0,16.425,0.009,57.2,1.0,112,112,8,464,thresh2k
128,1,float32,95.8,21.435,0.019,50.09,1.0,128,128,8,496,thresh2k
160,1,float32,110.9,29.024,0.012,46.24,1.0,160,160,8,560,thresh2k
8,2,float32,60.8,1.037,0.139,64.7,1.0,8,24,20,328,thresh2k
16,2,float32,62.5,1.394,0.089,96.31,1.0,16,16,20,303,thresh2k
32,2,float32,63.4,1.806,0.028,148.64,1.0,32,32,20,335,thresh2k
48,2,float32,65.2,2.858,0.007,140.88,1.0,48,48,20,367,thresh2k
64,2,float32,68.1,4.534,0.008,118.42,1.0,64,64,20,399,thresh2k
80,2,float32,72.9,6.164,0.013,108.88,1.0,80,80,20,431,thresh2k
96,2,float32,92.5,8.379,0.008,96.11,1.0,96,96,20,463,thresh2k
104,2,float32,78.3,9.262,0.009,94.2,1.0,104,104,20,479,thresh2k
112,2,float32,80.5,11.15,0.02,84.26,1.0,112,112,20,495,thresh2k
128,2,float32,88.6,13.622,0.105,78.83,1.0,128,128,20,527,thresh2k
160,2,float32,97.1,18.874,0.026,71.11,1.0,160,160,20,591,thresh2k
8,4,float32,72.4,1.114,0.168,60.24,1.0,8,24,32,384,thresh2k
16,4,float32,67.6,1.455,0.05,92.27,1.0,16,16,32,371,thresh2k
32,4,float32,74.0,2.173,0.081,123.54,1.0,32,32,32,397,thresh2k
48,4,float32,72.6,2.955,0.047,136.26,1.0,48,48,32,428,thresh2k
64,4,float32,78.6,3.827,0.268,140.28,1.0,64,64,32,465,thresh2k
80,4,float32,76.0,4.734,0.004,141.76,1.0,80,80,32,497,thresh2k
96,4,float32,83.0,6.156,0.013,130.83,1.0,96,96,32,529,thresh2k
104,4,float32,81.5,6.922,0.01,126.03,1.0,104,104,32,545,thresh2k
112,4,float32,86.7,8.369,0.04,112.27,1.0,112,112,32,561,thresh2k
128,4,float32,105.2,9.56,0.143,112.31,1.0,128,128,32,593,thresh2k
160,4,float32,98.3,13.578,0.122,98.85,1.0,160,160,32,657,thresh2k
