chain,accs,dtype,compile_ms,time_ms,time_std_ms,gflops,flops_ratio,packed_fma,scalar_fma,simd_regs,asm_lines,config
96,1,float64,181.8,26.721,0.686,30.14,1.0,96,96,8,432,default
104,1,float64,189.5,116.317,0.131,7.5,1.0,0,39,5,292,default
112,1,float64,201.5,132.218,0.056,7.11,1.0,0,16,5,234,default
128,1,float64,235.6,165.814,0.124,6.48,1.0,0,16,5,234,default
160,1,float64,303.9,233.989,0.399,5.74,1.0,0,20,5,238,default
112,2,float64,116.3,22.942,0.021,40.95,1.0,112,112,20,495,default
128,2,float64,177.0,104.514,0.01,10.27,1.0039,0,16,10,249,default
160,2,float64,217.4,144.775,0.084,9.27,1.0031,0,20,10,253,default
128,4,float64,108.6,18.956,0.019,56.64,1.0,128,128,32,593,default
160,4,float64,163.0,86.044,0.076,15.6,1.0093,0,20,17,287,default
96,1,float64,177.8,25.887,0.052,31.11,1.0,96,96,8,432,thresh2k
104,1,float64,116.7,29.569,0.081,29.5,1.0,104,104,8,448,thresh2k
112,1,float64,118.8,34.314,0.029,27.38,1.0,112,112,8,464,thresh2k
128,1,float64,131.0,42.81,0.021,25.08,1.0,128,128,8,496,thresh2k
160,1,float64,156.7,59.934,0.333,22.39,1.0,160,160,8,560,thresh2k
112,2,float64,116.6,22.291,0.017,42.15,1.0,112,112,20,495,thresh2k
128,2,float64,111.6,27.157,0.008,39.54,1.0,128,128,20,527,thresh2k
160,2,float64,127.4,37.161,0.138,36.12,1.0,160,160,20,591,thresh2k
128,4,float64,108.5,20.34,0.014,52.79,1.0,128,128,32,593,thresh2k
160,4,float64,120.3,27.035,0.013,49.65,1.0,160,160,32,657,thresh2k
96,1,float64,179.2,26.571,0.581,30.31,1.0,96,96,8,432,thresh16k
104,1,float64,115.4,30.14,0.687,28.95,1.0,104,104,8,448,thresh16k
112,1,float64,118.2,34.352,0.015,27.35,1.0,112,112,8,464,thresh16k
128,1,float64,131.0,42.785,0.041,25.1,1.0,128,128,8,496,thresh16k
160,1,float64,156.1,60.282,0.073,22.27,1.0,160,160,8,560,thresh16k
112,2,float64,120.2,22.956,0.017,40.93,1.0,112,112,20,495,thresh16k
128,2,float64,111.7,27.146,0.026,39.55,1.0,128,128,20,527,thresh16k
160,2,float64,127.1,37.166,0.11,36.11,1.0,160,160,20,591,thresh16k
128,4,float64,108.6,20.372,0.027,52.71,1.0,128,128,32,593,thresh16k
160,4,float64,121.8,27.043,0.018,49.63,1.0,160,160,32,657,thresh16k
