family,d,compile_ms,time_ms,time_std_ms,gflops,flops_ratio,ipc,ginsn,probe_fpc,packed_fma,scalar_fma,simd_regs,asm_lines,config
map,"[96, 1]",126.9,6.678,0.011,30.15,1.0,0.745,0.0269,5.5769,96,96,8,432,default
map,"[104, 1]",66.8,29.217,0.02,7.47,1.0,0.92,0.1424,1.4097,0,39,5,292,default
map,"[112, 1]",69.2,33.194,0.055,7.08,1.0,0.795,0.1398,1.3356,0,16,5,234,default
map,"[32, 2]",41.6,0.991,0.029,67.7,1.0,1.719,0.0106,10.9013,32,32,20,335,default
map,"[128, 2]",64.2,26.285,0.015,10.21,1.0039,1.167,0.1628,1.9235,0,16,10,249,default
reduction,16,49.3,0.454,0.028,76.25,1.0,1.419,0.0053,9.3119,80,16,20,345,default
reduction,64,53.9,2.381,0.012,56.8,1.0,1.34,0.0179,10.1444,320,64,20,633,default
reduction,96,75.0,3.992,0.016,50.69,1.0,1.21,0.0263,9.3231,480,96,20,825,default
reduction,104,62.2,29.754,0.054,7.37,1.0,0.897,0.1414,1.3911,0,39,6,252,default
reduction,112,65.5,33.778,0.042,6.98,1.0,0.782,0.1398,1.3187,0,16,6,197,default
reduction,128,73.3,42.208,0.055,6.38,1.0,0.71,0.1588,1.2051,0,16,6,197,default
reduction,160,90.5,59.323,0.053,5.67,1.0,0.611,0.1925,1.0689,0,20,6,201,default
stencil,16,46.3,0.818,0.028,41.01,0.9688,1.095,0.0059,6.2665,15,15,18,346,default
stencil,64,44.6,4.273,0.033,31.41,0.9922,1.774,0.0421,5.6587,15,0,9,280,default
stencil,96,47.9,6.353,0.029,31.68,0.9948,1.718,0.0589,5.8768,23,0,9,296,default
stencil,104,48.2,7.524,0.034,28.99,1.0096,1.695,0.0683,5.4123,25,0,4,305,default
stencil,128,50.2,9.054,0.007,29.65,0.9961,1.575,0.0757,5.5858,31,0,9,312,default
gather,16,46.9,4.37,0.012,7.68,0.5,4.624,0.1071,1.4491,0,0,3,356,default
gather,64,57.9,15.474,0.008,8.67,0.5234,2.564,0.2099,1.639,0,0,29,456,default
gather,96,70.1,25.526,0.003,7.89,0.5156,2.338,0.3159,1.49,0,0,29,557,default
gather,128,84.2,37.814,0.011,7.1,0.5117,2.082,0.4167,1.341,0,0,28,651,default
map,"[96, 1]",126.2,6.689,0.029,30.1,1.0,0.744,0.0269,5.5666,96,96,8,432,thresh2k
map,"[104, 1]",58.1,7.58,0.013,28.77,1.0,0.712,0.029,5.3547,104,104,8,448,thresh2k
map,"[112, 1]",60.2,8.653,0.118,27.14,1.0,0.675,0.0311,5.098,112,112,8,464,thresh2k
map,"[32, 2]",41.0,0.991,0.023,67.71,1.0,1.709,0.0106,10.8414,32,32,20,335,thresh2k
map,"[128, 2]",58.7,6.839,0.01,39.25,1.0,0.973,0.0358,7.2991,128,128,20,527,thresh2k
reduction,16,49.9,0.454,0.03,76.21,1.0,1.358,0.0053,8.9161,80,16,20,345,thresh2k
reduction,64,53.2,2.394,0.013,56.5,1.0,1.361,0.0179,10.3033,320,64,20,633,thresh2k
reduction,96,75.2,3.978,0.011,50.87,1.0,1.223,0.0263,9.4256,480,96,20,825,thresh2k
reduction,104,80.7,4.384,0.013,49.99,1.0,1.193,0.0284,9.2115,520,104,20,873,thresh2k
reduction,112,87.3,4.767,0.014,49.5,1.0,1.181,0.0305,9.1423,560,112,20,921,thresh2k
reduction,128,98.6,5.567,0.015,48.41,1.0,1.162,0.0347,9.0338,640,128,20,1017,thresh2k
reduction,160,126.7,7.152,0.006,47.06,1.0,1.126,0.0431,8.8002,800,160,20,1209,thresh2k
stencil,16,45.9,0.826,0.079,40.6,0.9688,1.087,0.0059,6.2179,15,15,18,346,thresh2k
stencil,64,78.8,5.324,0.013,25.21,0.9922,1.073,0.0311,4.6374,63,63,18,849,thresh2k
stencil,96,121.3,9.971,0.03,20.19,0.9948,0.903,0.0479,3.7949,95,95,18,1553,thresh2k
stencil,104,131.8,11.436,0.023,19.07,0.9952,0.856,0.0521,3.5827,103,103,18,1731,thresh2k
stencil,128,129.1,55.848,0.154,4.81,0.9961,0.925,0.2731,0.9087,0,127,3,500,thresh2k
gather,16,47.0,4.367,0.007,7.68,0.5,4.625,0.1071,1.4494,0,0,3,356,thresh2k
gather,64,81.0,19.836,0.014,6.77,0.5,3.898,0.4092,1.2786,0,0,3,644,thresh2k
gather,96,108.0,30.239,0.008,6.66,0.5,3.817,0.6106,1.2584,0,0,3,836,thresh2k
gather,128,123.6,42.374,0.014,6.33,0.5,3.62,0.812,1.1967,0,0,3,1030,thresh2k
