family,d,compile_ms,time_ms,time_std_ms,gflops,flops_ratio,packed_fma,scalar_fma,simd_regs,asm_lines,opt
map,"[32, 1]",111.0,1.272,0.031,52.75,1.0,32,32,8,304,3
map,"[96, 1]",55.7,6.677,0.014,30.15,1.0,96,96,8,432,3
map,"[112, 1]",68.9,33.186,0.043,7.08,1.0,0,16,5,234,3
reduction,64,53.9,2.392,0.012,56.56,1.0,320,64,20,633,3
reduction,112,65.1,33.814,0.045,6.98,1.0,0,16,6,197,3
stencil,64,57.8,4.199,0.021,31.96,0.9922,15,0,9,280,3
stencil,128,50.3,9.089,0.012,29.53,0.9961,31,0,9,312,3
map,"[32, 1]",108.8,1.27,0.025,52.83,1.0,32,32,8,304,2
map,"[96, 1]",61.3,25.536,0.031,7.88,1.0,0,16,5,234,2
map,"[112, 1]",69.0,33.228,0.028,7.07,1.0,0,16,5,234,2
reduction,64,45.0,13.401,0.003,10.09,1.0,0,16,6,193,2
reduction,112,64.5,33.642,0.051,7.01,1.0,0,16,6,193,2
stencil,64,55.0,3.639,0.006,36.88,0.9922,15,0,9,280,2
stencil,128,49.8,8.81,0.008,30.47,0.9961,31,0,9,312,2
map,"[32, 1]",108.0,1.278,0.025,52.5,1.0,32,32,8,312,1
map,"[96, 1]",59.7,25.593,0.022,7.87,1.0,0,16,5,242,1
map,"[112, 1]",68.1,33.226,0.008,7.07,1.0,0,16,5,242,1
reduction,64,43.1,13.549,0.012,9.98,1.0,0,16,6,198,1
reduction,112,63.4,33.76,0.035,6.99,1.0,0,16,6,198,1
stencil,64,55.4,4.195,0.028,32.0,0.9922,15,0,9,290,1
stencil,128,48.4,9.289,0.006,28.9,0.9961,31,0,9,322,1
map,"[32, 1]",210.9,117.399,0.145,0.57,1.0,0,0,2,1531,0
map,"[96, 1]",348.9,321.127,0.404,0.63,1.0,0,0,2,1531,0
map,"[112, 1]",400.9,371.716,0.202,0.63,1.0,0,0,2,1531,0
reduction,64,266.3,219.724,0.608,0.62,1.0,0,0,2,1159,0
reduction,112,437.2,371.277,0.261,0.64,1.0,0,0,2,1159,0
stencil,64,474.4,408.965,0.105,0.33,1.0,0,0,1,1760,0
stencil,128,882.2,803.067,0.213,0.33,1.0,0,0,1,1760,0
