family,d,plain_gflops,retry_gflops,speedup,plain_compile_ms,retry_total_ms,fired
map,"(96, 1)",30.13,30.18,1.001,124.6,64.0,0
map,"(104, 1)",7.47,28.81,3.859,65.8,136.7,1
map,"(112, 1)",7.08,27.28,3.853,80.4,139.3,1
map,"(32, 2)",67.77,68.97,1.018,41.9,44.8,0
map,"(128, 2)",10.21,39.4,3.857,63.6,133.8,1
reduction,16,78.1,78.69,1.008,36.4,41.9,0
reduction,96,50.87,50.75,0.998,75.6,98.4,0
reduction,104,7.41,52.66,7.111,62.4,173.6,1
reduction,112,7.01,51.47,7.338,64.9,197.1,1
reduction,128,6.41,50.14,7.828,73.7,207.7,1
reduction,160,5.69,48.32,8.489,90.7,268.9,1
stencil,16,48.5,48.83,1.007,45.5,49.9,0
stencil,64,32.18,32.09,0.997,43.8,47.0,0
stencil,96,30.72,30.88,1.005,48.2,51.1,0
stencil,104,28.17,28.27,1.004,49.7,53.8,0
stencil,128,27.29,27.57,1.01,64.0,55.3,0
